NUM,YEAR,S,#,CODE,New?,Type,TITLE,A1,A2,A3,A4,A5,A6,A7,A8,A9,A10,A11,JOURNAL,VOL,ISSUE,PSTART,PEND,LENGTH,Journal Impact Factor ,Journal Ranking,Discpline Rank,Broadest Rank,1st/2nd,SENIOR,TOTAL CITES,COUNT,JOURNAL IMPACT FACTOR,DOI,Affiliation,AGU?,Grant #,Grant #,Grant #
88,2017,P,H,P17H,Y,RA,Leaf water 18O and 2H maps show directional enrichment discrepancy in Colocasia esculenta,"Gerlain-Safdi, C.","Gauthier, P.","Sinkler, C.","Caylor, KK",,,,,,,,"Plant, Cell, & Environment",,,,,,6.17,12/212 in Plant Sciences,12,,,1,2,1,,10.1111/pce.13002,UCSB,,,,
89,2017,P,I,P17I,Y,RA,Calibration of a parsimonious distributed ecohydrological daily model in a data-scarce basin using exclusively the spatio-temporal variation of NDVI,"Ruiz-Perez, G.","Kock, J.","Manfreda, Salvatore","Caylor, KK","Frances, F.",,,,,,,Hydrology and Earth System Science Discussions,,,,,,3.99,"3/88 in Water Resources
12/188 in Geosciences Multidisciplinary, ",3,12,,,0,1,,10.5194/hess-21-6235-2017,UCSB,,,,
90,2018,P,A,P18A,Y,RA,"Simulated sensitivity of African terrestrial ecosystem photosynthesis to rainfall frequency, intensity, and rainy season length","Guan, K.","Good, S.P.","Caylor, K.K.","Medvigy, D.","Pan, Ming","Wood, E.F.","Sato, H.","Biasutti, M.","Chen, M.","Ahlstrom, A.","Xiangtao, X.",Environmental Research Letters,,,,,,4.40,"25/229 in Environmental Sciences
8/85 in Meteorology & Atmospheric Sciences",8,25,,,0,1,,10.1088/1748-9326/aa9f30,UCSB,,,,
91,2018,P,B,P18B,Y,RA,Measurements and Observations in the XXI century (MOXXI): innovation and multidisciplinarity to sense the hydrological cycle,"Flavia, T.","Selker, J.","van de Giesen, N.","Abrate, T.","Uijlenhoet, R.","Porfiri, M.","Manfreda, S.","Caylor, KK",22 others,,,Hydrological Sciences Journal,,,,,,2.22,24/88 in Water Resources,24,,,1,2,1,,10.1080/02626667.2017.1420191,UCSB,,,,
92,2018,P,C,P18C,Y,RA,"A large‐area, spatially continuous assessment of land cover map error and its impact on downstream analyses","Estes, L","Chen, P.","Debats, S.","Evans, T.","Ferreira, S.","Ragazzo, G.","Sheffield, J","Wolf, A.","Wood, EF","Caylor, KK",,Global Change Biology,,,,,,8.50,"1/54 in Biodiversity & Conservation
6/153 in Ecology, 5/229 in Environmental Sciences",1,5,,1,0,1,,10.1111/gcb.13904,UCSB,,,,
93,2018,P,D,P18D,Y,RA,The Spatial and Temporal Domains of Modern Ecology,"Estes, L","Elsen, P.","Truer, T.","Ahmed, L.","Caylor, KK.","Chang, J.","Choi, J.","Ellis, E",,,,Nature Ecology & Evolution,,,,,,,,,,,,1,1,,10.1038/s41559-018-0524-4,UCSB,,,,
94,2018,P,E,P18E,Y,RA,On the Use of Unmanned Aerial Systems for Environmental Monitoring,"Manfreda, S.","McCabe, M","Miller, P.","Lucas, R.","Madrigal, V.P.","Mallinis, G.","Ben Dor, E.","Helman, D.","Estes, L.","Ciraolo, G.","13 others including Caylor, K.",Remote Sensing,,,,,,3.24,7/29 in Remote Sensing,,,,,0,1,,10.3390/rs10040641,UCSB,,,,
95,2018,P,G,P18G,Y,RA,Dew deposition suppresses transpiration and carbon uptake in leaves,"Gerlain-Safdi, C.","Koohafkan, MC","Chung, M.","Thompson, S","Rockwell, FE","Caylor, KK",,,,,,Agriculture & Forest Meteorology,,,,,,2.85,"5/83 in Agronomy
1/64 in Forestry",1,5,,1,0,1,,10.1016/j.agrformet.2018.05.015,UCSB,,,,
96,2018,I,A,I18A,,,Sociohydrology paper for WRR,"Gower, D.",,,,,,,,,,,Advances in Water Resources,,,,,,,,,,,,0,0,,,,,,,
97,2018,I,B,I18B,,,Kenya Sentinel Soil Moisture Paper,"Mayes, M.","Krell, M.","Caylor, KK",,,,,,,,,Remote Sensing of Environment,,,,,,,,,,,,0,0,,,,,,,
98,2018,I,C,I18C,,,Kenya Pod Paper,"Krell, N.","Caylor, KK",,,,,,,,,,Ecology and Society,,,,,,,,,,,,0,0,,,,,,,
99,2018,I,D,I18D,,,African ICT,"Krell, N.","Evans, T.","Caylor, KK",,,,,,,,,PNAS,,,,,,,,,,,,0,0,,,,,,,
P-1,2018,A,O,A18O,Y,RA,Comparing empirical and survey-based yield forecasts in a dryland agro-ecosystem,"Zhao, Y.","Vergopolan, N.","Baylis, K","Blekkin, J. ","Caylor, KK","Evans, T.P.","Giroux, S.","Sheffield, J","Estes, L.",,,Agricultural & Forest Meteorology,,,,,,2.85,"5/83 in Agronomy
1/64 in Forestry",1,5,,,0,0,,,UCSB,,,,
P-2,2018,A,F,A18F,Y,RA,Dew-induced transpiration suppression impacts the water and isotope balances of Colocasialeave,"Gerlain-Safdi, C.","Gauthier, P.G.","Caylor, KK",,,,,,,,,Oecologia,,,,,,3.13,"41/153 Ecology
12/341 in Environment/Ecology",,,,,0,0,,,UCSB,,,,
R-1,2018,R,H,R18H,Y,RA,Changes of daily evapotranspiration partitioning and  water use efficiency with a soil wetting-drying cycle in a sprinkle-irrigated cropland,"Xurong, M.","Gong, D.","Heng, L.","Hsiao, T.","Hao, W.","Guo, Z.","Li, Y","Caylor, KK",,,,Science of the Total Environment,,,,,,4.90,22/229 in Environmental Sciences,22,22,,1,0,0,,,UCSB,,,,
R-2,2018,R,I,R18I,Y,RA,Labor Sharing and Community-Level Vulnerability to Drought,"Schmitt-Harsh, M","Sweeney, S.","Estes, L.","Caylor, KK","Evans, T.",,,,,,,World Development,,,,,,2.85,"32/347 in Economics
5/55 in Planning & Development",5,32,,1,0,0,,,UCSB,,,,
R-3,2018,R,J,R18J,Y,RA,Mapping cropland in an smallholder-dominated African savannas biome using spectral mixture analysis and binary logistic regression,"Sweeney, S","Ruseva, T.","Estes, L","Caylor, KK","Evans, T.",,,,,,,Remote Sensing of Environment,,,,,,6.27,"2/29 in Remote Sensing
11/229 in Environmental Science",2,11,,1,0,0,,,UCSB,,,,
R-4,2018,R,K,R18K,Y,RA,The Relative Influences of Climate and Crop Subsidies in Shaping Agricultural Land Use and Productivity,"Mastrorillo, M","Vink, N.",Caylor. K.,"Oppenheimer, M.","Estes, L.",,,,,,,Environmental Research Letters,,,,,,4.40,"25/229 in Environmental Sciences
8/85 in Meteorology & Atmospheric Sciences",8,25,,,0,0,,,UCSB,,,,
R-5,2018,R,L,R18L,Y,RA,The salience of climate change in farmer decision making within smallholder semi-arid agroecosystems,"Waldman, K","Attari, S","Gower, D","Giroux, S","Evans, T","Caylor, KK",,,,,,Climatic Change,,,,,,,9/229 in Environmental Sciences,,,,1,0,0,,,UCSB,,,,
R-6,2018,R,M,R18M,Y,RA,Perceptions and biases about climate variability in smallholder farming systems,"Waldman, K","Vergopolan, N.","Attari, S.Z.","Sheffiled, J.","Estes, L.D.","Caylor, KK","Evans, T.P",,,,,Weather & Society,,,,,,,,,,,1,0,0,,,UCSB,,,,
R-7,2018,R,N,R18N,Y,RA,A high-frequency mobile phone data collection approach for research in social-environmental systems: Applications in climate variability and food security in sub-Saharan Africa.,"Giroux, S.","Caylor, KK","Kouper, I.","Estes, L.","Schumacher, J.","Waldman, K.","Evans, T.",,,,,Environmental Modelling & Software,,,,,,,,,,,,0,0,,,UCSB,,,,
R-8,2018,R,P,R18P,Y,RA,A global database of water vapor isotopes measured with high temporal resolution infrared laser spectroscopy,"Wei, Zhongwang","Lee, Xuhui","Aemisegger, Franziska","Benetti, Marion","Berkelhammer, Max","Casado, Mathieu","Caylor, KK","Chrsiner, Emanuel","Dryoff, Christoph","Garcia, O.E.",17 others,Scientific Data,,,,,,,,,,,,0,0,,,UCSB,,,,
R-9,2018,R,E,R18E,Y,RA,Biophysical effects on soil crack morphology in a faunally active dryland vertisol,"DeCarlo, K.","Caylor, KK",,,,,,,,,,Geoderma,,,,,,,,,,1,1,0,0,,,,1,,,
